month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2021-08-01,0.04701169781950759,0.04935970233214135,0.04703974131153839,2.804349203079553e-05,-0.002319961020602959,-0.19241635420053954,0.0005468453799609965,FIDIC 13.8,True,False,water
2021-09-01,0.05695978706288449,0.059986371720372925,0.057068820090963916,0.00010903302807943179,-0.0029175516294090084,-0.16462069989965356,0.0006558784080404283,FIDIC 13.8,True,False,water
2021-10-01,0.06668946003627553,0.07005977909654301,0.06658550627102426,-0.00010395376525127555,-0.003474272825518751,0.5228340253777541,0.0005519246427891527,FIDIC 13.8,True,False,water
2021-11-01,0.0750208504473029,0.07953288494215977,0.07545325108681226,0.00043240063950935757,-0.0040796338553475,-0.41469653089788716,0.0009843252822985104,FIDIC 13.8,True,False,water
2021-12-01,0.08069031776349986,0.08563469159603958,0.08074513158650333,5.481382300347293e-05,-0.004889560009536248,-0.21193500337216453,0.0010391391053019834,FIDIC 13.8,True,False,water
2022-01-01,0.08270617057989789,0.08925056231740656,0.08359206737569023,0.0008858967957923472,-0.00565849494171633,-0.4588434300588735,0.0019250359010943305,FIDIC 13.8,True,False,water
2022-02-01,0.08069031776349962,0.08688148635149305,0.08057409037614577,-0.00011622738735385929,-0.0063073959753472825,0.11903503754810331,0.0018088085137404712,FIDIC 13.8,True,False,water
2022-03-01,0.07502085044730285,0.08128483909159591,0.075325545007271,0.0003046945599681516,-0.005959294084324912,1.1020502168456427,0.0021135030737086226,FIDIC 13.8,True,False,water
2022-04-01,0.06668946003627553,0.07292362743840806,0.06708895313463215,0.0003994930983566174,-0.005834674303775919,-0.13069330358515868,0.00251299617206524,FIDIC 13.8,True,False,water
2022-05-01,0.05695978706288466,0.06314527873380679,0.057476302732571614,0.0005165156696869563,-0.005668976001235178,1.953889663512594,0.0030295118417521965,FIDIC 13.8,True,False,water
